1st,"$1,000,000.00"
2nd,"$150,000.00"
3rd,"$50,000.00"
4th,"$25,000.00"
5th,"$15,000.00"
6th,"$10,000.00"
7th - 8th,"$7,000.00"
9th - 10th,"$5,000.00"
11th - 15th,"$4,000.00"
16th - 25th,"$3,000.00"
26th - 35th,"$2,000.00"
36th - 50th,"$1,500.00"
51st - 75th,"$1,000.00"
76th - 100th,$750.00
101st - 150th,$600.00
151st - 200th,$500.00
201st - 250th,$400.00
251st - 350th,$300.00
351st - 500th,$250.00
501st - 700th,$200.00
701st - 1000th,$150.00
1001st - 1500th,$125.00
1501st - 2500th,$100.00
2501st - 4000th,$75.00
4001st - 7000th,$60.00
7001st - 12945th,$50.00
12946th - 22945th,$45.00
22946th - 39445th,$40.00
