QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Cam Newton (7975772),Todd Gurley (7975889),Ty Montgomery (7975838),Alshon Jeffery (7975976),Michael Thomas (7975920),Jarvis Landry (7975904),Greg Olsen (7976089),Delanie Walker (7976060),New England Patriots (7976455)
Aaron Rodgers (7975752),DeMarco Murray (7975823),Todd Gurley (7975889),Alshon Jeffery (7975976),Jarvis Landry (7975904),Doug Baldwin (7976008),Antonio Gates (7976073),Cameron Brate (7976052),New England Patriots (7976455)
Cam Newton (7975772),Melvin Gordon (7975842),Jay Ajayi (7975799),Jarvis Landry (7975904),Michael Crabtree (7975996),DeAndre Hopkins (7976033),Delanie Walker (7976060),Lamar Miller (7975893),New England Patriots (7976455)
Aaron Rodgers (7975752),Todd Gurley (7975889),Bilal Powell (7975815),Brandin Cooks (7975918),Michael Thomas (7975920),Jordy Nelson (7975947),Hunter Henry (7976080),C.J. Fiedorowicz (7976119),San Diego Chargers (7976462)
Aaron Rodgers (7975752),Doug Martin (7975805),Jay Ajayi (7975799),Mike Evans (7975916),DeAndre Hopkins (7976033),Jarvis Landry (7975904),Delanie Walker (7976060),Antonio Gates (7976073),New England Patriots (7976455)
Tom Brady (7975741),Ty Montgomery (7975838),Todd Gurley (7975889),Brandin Cooks (7975918),DeAndre Hopkins (7976033),Jarvis Landry (7975904),Tyler Eifert (7976117),C.J. Fiedorowicz (7976119),Los Angeles Rams (7976471)
Cam Newton (7975772),Doug Martin (7975805),Frank Gore (7975865),Julian Edelman (7975926),Michael Thomas (7975920),DeAndre Hopkins (7976033),Jordan Reed (7976084),Lamar Miller (7975893),New England Patriots (7976455)
Tom Brady (7975741),Ty Montgomery (7975838),Jay Ajayi (7975799),Michael Crabtree (7975996),Doug Baldwin (7976008),Jarvis Landry (7975904),Cameron Brate (7976052),Doug Martin (7975805),New England Patriots (7976455)
Drew Brees (7975736),Devonta Freeman (7975862),Todd Gurley (7975889),Allen Robinson (7975945),Michael Crabtree (7975996),DeSean Jackson (7975972),Antonio Gates (7976073),Tyler Eifert (7976117),New England Patriots (7976455)
Cam Newton (7975772),Todd Gurley (7975889),Latavius Murray (7975869),DeAndre Hopkins (7976033),Jarvis Landry (7975904),Michael Crabtree (7975996),Jordan Reed (7976084),Tyler Eifert (7976117),New England Patriots (7976455)
Tom Brady (7975741),Bilal Powell (7975815),Lamar Miller (7975893),DeAndre Hopkins (7976033),Doug Baldwin (7976008),Julian Edelman (7975926),Antonio Gates (7976073),Tyler Eifert (7976117),Buffalo Bills (7976451)
