Sport,Entry,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
NFL,"NFL $500K Festive Front Four [$500,000 Guaranteed] (Sunday Only)",12/25/16 16:30,42852,148.16,$0.00 ,$0.00 ,147058,$4.00 ,"$500,000.00 ",40750
NFL,"NFL $250K Sleigh Bell Special [$250,000 Guaranteed] (Sunday Only)",12/25/16 16:30,58446,114.28,$0.00 ,$0.00 ,65532,$4.00 ,"$250,000.00 ",19550
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (58/98),12/24/16 13:00,364,219.6,$100.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (8/98),12/24/16 13:00,13885,181.08,$15.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (69/98),12/24/16 13:00,18947,176.82,$12.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (83/98),12/24/16 13:00,19269,176.6,$12.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (1/98),12/24/16 13:00,22651,174.28,$10.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (4/98),12/24/16 13:00,22651,174.28,$10.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (66/98),12/24/16 13:00,25931,172.32,$10.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (77/98),12/24/16 13:00,32190,169.02,$9.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (86/98),12/24/16 13:00,33524,168.4,$9.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (72/98),12/24/16 13:00,38639,166.12,$8.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
